operation,first_bytes,repeated_bytes
typeof,0,0
get-type,0,0
type-test,0,0
direct-call,0,0
virtual-call,0,0
find-field,24,0
find-method,32,0
find-intrinsic-method,256,0
type-name,98,98000
member-name,34,34000
signature,60,60000
enumerate-methods,24,24000
parameters,64,64000
attribute-data,40,40000
create-attributes,40,40000
attribute-value,0,0
invoke,12,12000
get-type-packed,0,0
type-test-packed,0,0
direct-call-packed,0,0
find-field-packed,24,0
find-method-packed,32,0
type-name-packed,96,96000
member-name-packed,34,34000
signature-packed,60,60000
enumerate-methods-packed,24,24000
parameters-packed,64,64000
attribute-data-packed,40,40000
create-attributes-packed,40,40000
attribute-value-packed,0,0
invoke-packed,12,12000
